"id","abbreviation","fullform","type","publication_id"
"1","A"," tablets in the collections of the Oriental Institute, Univ. of Chicago   ","test","59"
"2","A2"," lex. series a2 = idu   ",NULL,NULL
"3","A-tablet"," lexical text, see MSL 13 10ff.   ",NULL,NULL
"4","Ä & L"," Ägypten und Levante (Wien)   ",NULL,NULL
"5","Aa"," lex. series a2 || A = naqu; MSL 14, 201ff.   ",NULL,NULL
"6","AAA"," Annals of Archaeology and Anthropology (Liverpool 1908 -1948)   ",NULL,NULL
"7","AAAS (aka AAS)"," Annales archélogiques de Syrie, (from 1966) Annales archéologiques arabes syriennes. Revue d'archéologie et d'histoire (Damascus 1951 ff.)   ",NULL,NULL
"8","AAICAB (aka Ashm. 1)"," Grégoire, J.-P., Archives Administratives et Inscriptions Cunéiformes  Ashmolean Museum, Bodleian Collection, Oxford (Librairie Orientaliste Paul Geuthner 1996)  ",NULL,NULL
"9","AAN"," Anthroponymie et anthropologie de Nuzi, vol. 1  Les Anthroponymes (Malibu 1977)  ","book","240807"
"10","Aannepada lff."," royal inscr.; Steible ABW 2, 273ff.   ",NULL,NULL
"11","AAS (aka Grégoire AAS, AAAS)"," J.-P. Grégoire, Archives administratives sumériennes (Paris 1970)   ",NULL,NULL
"12","AASF"," Annales Academiae Scientiarum Fennicae, Reihe B (Helsinki 1909 ff.)   ",NULL,NULL
"13","AASOR"," Annual of the American School(s) of Oriental Research (in Jerusalem) (New Haven/Cambridge, Mass. 1919/1920 ff.)   ",NULL,NULL
"14","AASOR 57"," D. C. Hopkins (Hrsg.), Across the Anatolian Plateau  Readings in the Archaeology of Ancient Turkey (Boston,MA 2002 [2000])  ",NULL,NULL
"15","AAT"," J.A. Craig, Astrological-Astronomical Texts (Assyriologische Bibliothek 14), Leipzig 1899.   ",NULL,NULL
"16","ÄAT"," Ägypten und Altes Testament (Wiesbaden)   ",NULL,NULL
"17","AB"," Assyriologische Bibliothek (Leipzig 1881 -1933); NF = Neue Folge, 1-2 (1933)   ",NULL,NULL
"18","aB"," Old Babylonian (altbabylonisch)   ",NULL,NULL
"19","ABAA"," Weidner, Ernst F., Alter und Bedeutung der babylonischen Astronomie und Astrallehre (Leipzig, 1914) = KAO 4   ",NULL,NULL
"20","Abadahlugalga to his Brothers"," letter; Ali Letters 117ff. B 13  ",NULL,NULL
"21","Abaindasa to Sulgi"," letter; Ali Letters 53ff. B 1  ",NULL,NULL
"22","ABAW (aka AbhMünchen)"," Abhandlungen der Bayerischen Akademie der Wissenschaften. Phil-hist. Klasse, NF = Neue Folge (Munich 1929 ff.)   ",NULL,NULL
"23","AbB"," Altbabylonische Briefe in Umschrift und Übersetzung (Leiden 1964 ff.)   ",NULL,NULL
"24","abbr."," abbreviated, abbreviation   ",NULL,NULL
"25","ABC"," A.K. Grayson, Assyrian and Babylonian Chronicles (= TCS 5, 1975)   ",NULL,NULL
"26","ABC"," Stevenson, J.H. Assyrian and Babylonian Contracts with Aramaic reference notes (New York  1902)  ",NULL,NULL
"27","Abel-Winckler"," L. Abel and H. Winckler, Keilschrifttexte zum Gebrauch bei Vorlesungen   ",NULL,NULL
